Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Revenue_Million_USD
2016,10,Europe,Model 3,10280,10378,108196.15,100,579,892.82,Estimated (Region),4379,1112.256422
2025,7,Asia,Model S,8354,8972,70719.48,100,566,709.25,Interpolated (Month),14531,590.7905359
2023,2,Europe,Cybertruck,6820,7637,90643.38,100,588,601.52,Estimated (Region),6992,618.1878516
2018,10,North America,Model S,5201,5401,102648,120,690,538.3,Interpolated (Month),6850,533.872248
2020,4,Asia,Model S,11089,11641,102110.95,75,418,695.28,Interpolated (Month),4563,1132.308325
2015,10,North America,Cybertruck,6202,6819,115578.08,60,351,326.54,Estimated (Region),5579,716.8152522
2025,6,Asia,Model S,11262,12586,112804.29,100,571,964.59,Estimated (Region),5808,1270.401914
2023,12,North America,Model S,8896,9145,104131.28,75,430,573.79,Estimated (Region),7213,926.3518669
2022,8,Europe,Model Y,1388,1438,77895.14,60,330,68.71,Interpolated (Month),12269,108.1184543
2025,12,Middle East,Model S,9394,10078,82633.32,120,699,984.96,Interpolated (Month),4241,776.2574081
2022,2,North America,Model X,13191,13201,89537.34,82,464,918.09,Interpolated (Month),6872,1181.087052
2018,11,Asia,Model S,7542,7881,94995.65,60,348,393.69,Interpolated (Month),11352,716.4571923
2019,2,Middle East,Model Y,6476,7157,78751.21,75,431,418.67,Estimated (Region),3088,509.992836
2023,6,Europe,Model Y,9414,10245,59743.15,60,330,465.99,Estimated (Region),5943,562.4220141
2017,1,Europe,Cybertruck,6240,6540,83350.59,120,673,629.93,Interpolated (Month),10685,520.1076816
2018,10,Europe,Model Y,11109,11914,119082.72,82,481,801.51,Interpolated (Month),5983,1322.889936
2021,1,Asia,Model X,10798,11052,98343.59,120,690,1117.59,Official (Quarter),10807,1061.914085
2019,5,Asia,Model Y,12863,13082,95073.56,82,485,935.78,Interpolated (Month),9928,1222.931202
2024,12,Europe,Model 3,5881,6734,106798.53,120,666,587.51,Estimated (Region),4461,628.0821549
2025,7,Middle East,Model S,17474,19836,68258.46,120,712,1866.22,Interpolated (Month),10730,1192.74833
2024,8,Middle East,Cybertruck,7408,8406,90693.75,100,567,630.05,Estimated (Region),5791,671.8593
2025,1,North America,Model S,5949,6096,64285.11,120,701,625.54,Estimated (Region),14004,382.4321194
2024,4,Asia,Model S,6656,6776,110526.14,75,431,430.31,Estimated (Region),9865,735.6619878
2015,6,Middle East,Model Y,22315,22673,81318.87,82,472,1579.9,Interpolated (Month),5909,1814.630584
2022,6,Europe,Model Y,13128,13872,50567.57,120,660,1299.67,Estimated (Region),8526,663.851059
2016,3,North America,Model 3,15502,16256,75652.31,100,569,1323.1,Estimated (Region),11345,1172.76211
2024,8,Asia,Model X,13506,13585,119158.79,82,478,968.38,Estimated (Region),11173,1609.358618
2018,4,Europe,Model X,21473,24427,78461.34,60,334,1075.8,Interpolated (Month),11576,1684.800354
2025,1,Middle East,Model S,9133,10371,113498.22,60,350,479.48,Official (Quarter),14114,1036.579243
2025,4,Europe,Model Y,12364,13649,110733.32,82,466,864.24,Official (Quarter),3518,1369.106768
2018,4,Asia,Model S,6475,7117,94359.81,120,695,675.02,Official (Quarter),3194,610.9797698
2024,7,Middle East,Cybertruck,11767,12485,68338.29,82,491,866.64,Estimated (Region),12566,804.1366584
2021,2,Europe,Model X,11811,13576,102555.32,82,477,845.08,Interpolated (Month),7263,1211.280885
2022,10,Europe,Model Y,15676,17413,93764.81,75,449,1055.78,Estimated (Region),9403,1469.857162
2016,7,Europe,Model 3,18246,20097,106349.23,75,422,1154.97,Estimated (Region),12900,1940.448051
2021,4,Europe,Cybertruck,11441,11747,55571.17,60,358,614.38,Interpolated (Month),6127,635.789756
2017,4,Middle East,Model S,5656,5846,96413.3,120,704,597.27,Estimated (Region),13181,545.3136248
2020,10,Europe,Cybertruck,11466,11648,84494.69,60,334,574.45,Official (Quarter),14739,968.8161155
2022,9,North America,Cybertruck,1726,1857,51678.28,82,463,119.87,Interpolated (Month),12838,89.19671128
2020,12,Europe,Model X,1598,1741,106523.46,60,333,79.82,Official (Quarter),7767,170.2244891
2021,6,Middle East,Model Y,3973,4376,70270.79,100,578,344.46,Estimated (Region),3790,279.1858487
2015,11,North America,Model Y,15813,16654,70106.73,100,564,1337.78,Interpolated (Month),5803,1108.597721
2019,5,Middle East,Model X,12584,13581,82708.27,60,333,628.57,Interpolated (Month),10794,1040.80087
2022,11,North America,Model S,4638,5271,62220.88,60,338,235.15,Interpolated (Month),9202,288.5804414
2015,7,North America,Model S,7413,7546,112336.91,82,475,528.18,Official (Quarter),11149,832.7535138
2016,3,North America,Model Y,1386,1511,96774.9,100,580,120.58,Estimated (Region),8561,134.1300114
2017,5,Middle East,Model S,11634,12912,78316.92,60,332,579.37,Official (Quarter),12405,911.1390473
2021,1,Asia,Model S,6231,7073,77803.08,60,337,314.98,Interpolated (Month),8380,484.7909915
2022,1,Asia,Model X,12858,14363,102880.61,120,696,1342.38,Official (Quarter),10521,1322.838883
2021,7,Middle East,Model Y,16161,16229,107997.12,75,442,1071.47,Official (Quarter),6108,1745.341456
2016,2,Middle East,Model S,11459,11511,115166.41,120,701,1204.91,Official (Quarter),11118,1319.691892
2023,3,Asia,Model 3,13511,14683,98246.08,60,333,674.87,Interpolated (Month),12853,1327.402787
2016,1,Middle East,Model 3,14314,16247,79520.46,100,563,1208.82,Interpolated (Month),10108,1138.255864
2016,7,North America,Model S,9463,10543,52471.79,75,440,624.56,Official (Quarter),5429,496.5405488
2019,3,Asia,Model S,6614,6653,51529.27,120,706,700.42,Interpolated (Month),4613,340.8145918
2025,1,Asia,Model 3,15910,17075,68122.21,82,481,1147.91,Official (Quarter),11659,1083.824361
2022,1,North America,Cybertruck,17648,18986,107197.15,75,444,1175.36,Interpolated (Month),10387,1891.815303
2017,8,Europe,Cybertruck,10232,11717,54659.53,60,349,535.65,Interpolated (Month),3889,559.276311
2020,11,Europe,Model X,8939,9066,118310.96,100,564,756.24,Estimated (Region),8085,1057.581671
2022,3,North America,Model 3,6634,7029,89992.4,60,358,356.25,Estimated (Region),9200,597.0095816
2019,1,Asia,Model S,4532,4860,80040.46,120,664,451.39,Estimated (Region),4273,362.7433647
2016,3,Europe,Model 3,15537,17431,100268.62,100,597,1391.34,Interpolated (Month),3218,1557.873549
2019,4,Europe,Cybertruck,10842,12009,76043.05,120,665,1081.49,Estimated (Region),8494,824.4587481
2018,8,Europe,Model X,15325,15719,86265.42,82,459,1055.13,Interpolated (Month),6399,1322.017562
2023,3,Asia,Model Y,9545,10805,112142.75,82,490,701.56,Estimated (Region),13412,1070.402549
2025,6,North America,Cybertruck,8313,8403,89817.31,75,433,539.93,Interpolated (Month),13199,746.651298
2016,10,North America,Model Y,8787,9766,53370,120,714,941.09,Official (Quarter),13227,468.96219
2023,5,Middle East,Model X,6438,6827,64542.45,100,582,562.04,Interpolated (Month),13454,415.5242931
2022,4,Europe,Model X,7427,7905,78551.94,75,416,463.44,Estimated (Region),11113,583.4052584
2023,1,Middle East,Model S,7039,7539,77416.66,60,357,376.94,Interpolated (Month),4507,544.9358697
2015,9,North America,Model X,7705,7747,83044.69,82,474,547.83,Official (Quarter),3788,639.8593365
2015,4,Europe,Model S,10522,11561,61405.41,82,453,714.97,Estimated (Region),10709,646.107724
2022,8,Middle East,Model S,11018,11192,96536.54,100,564,932.12,Official (Quarter),5387,1063.639598
2021,11,Middle East,Model 3,10128,11258,85225.34,120,664,1008.75,Official (Quarter),11682,863.1622435
2018,2,North America,Model X,3942,4239,101204.05,120,717,423.96,Official (Quarter),5645,398.9463651
2020,7,Middle East,Cybertruck,20003,22003,69900.18,60,347,1041.16,Interpolated (Month),10041,1398.213301
2023,9,Asia,Model 3,13194,14916,75161.15,82,488,965.8,Official (Quarter),11383,991.6762131
2015,12,Asia,Model S,5915,5988,97634.95,82,477,423.22,Official (Quarter),6279,577.5107293
2022,4,Middle East,Model 3,5781,6585,81786.76,120,704,610.47,Estimated (Region),7406,472.8092596
2023,1,Europe,Cybertruck,9902,10828,82222.5,60,331,491.63,Estimated (Region),3173,814.167195
2020,7,North America,Model 3,15597,17814,83261.96,75,424,991.97,Estimated (Region),12195,1298.63679
2021,7,North America,Model Y,477,539,63480.71,82,455,32.56,Official (Quarter),13773,30.28029867
2025,6,North America,Model Y,15994,16261,63100.15,60,345,827.69,Estimated (Region),13189,1009.223799
2018,9,Europe,Cybertruck,13280,14227,109436.86,60,341,679.27,Official (Quarter),5019,1453.321501
2020,3,Middle East,Model S,10855,11166,105335.95,75,429,698.52,Estimated (Region),6619,1143.421737
2020,10,Asia,Model Y,13412,14022,75380.82,75,414,832.89,Official (Quarter),14872,1011.007558
2016,7,Asia,Cybertruck,10563,11036,115847.55,120,675,1069.5,Estimated (Region),8155,1223.697671
2023,8,Middle East,Model S,14551,16389,66100.03,100,550,1200.46,Interpolated (Month),10815,961.8215365
2025,8,Europe,Model Y,11152,11731,104207.9,75,422,705.92,Estimated (Region),6943,1162.126501
2020,10,North America,Model X,11801,12368,88663.66,60,331,585.92,Interpolated (Month),3526,1046.319852
2016,3,Middle East,Model X,7228,7951,56687.47,120,697,755.69,Interpolated (Month),8421,409.7370332
2017,6,Middle East,Model Y,10303,10612,93174.85,100,587,907.18,Official (Quarter),11855,959.9804796
2021,11,Asia,Model 3,9950,10746,60068.41,75,412,614.91,Estimated (Region),12697,597.6806795
2018,2,Asia,Model 3,12334,14166,51803.87,82,475,878.8,Interpolated (Month),10914,638.9489326
2015,5,Middle East,Cybertruck,7602,8738,88880.22,120,706,805.05,Official (Quarter),14337,675.6674324
2021,6,Asia,Model S,5451,5887,107666.12,60,333,272.28,Interpolated (Month),14316,586.8880201
2020,7,Asia,Cybertruck,12018,12650,76376.74,100,576,1038.36,Estimated (Region),3002,917.8956613
2018,1,Middle East,Model 3,8629,9169,58145.09,120,696,900.87,Official (Quarter),14261,501.7339816
2019,5,Asia,Model S,7384,7641,84440.12,100,565,625.79,Official (Quarter),5181,623.5058461
2020,10,North America,Model S,10348,10789,53294.28,100,583,904.93,Interpolated (Month),13353,551.4892094
2017,3,Europe,Cybertruck,15491,16526,64642.98,100,552,1282.65,Interpolated (Month),13123,1001.384403
2020,9,Middle East,Cybertruck,7584,8336,80383.42,100,590,671.18,Estimated (Region),13866,609.6278573
2018,7,Europe,Model S,12659,12998,105825.98,60,350,664.6,Estimated (Region),9563,1339.651081
2024,9,North America,Model 3,19606,21050,97773.53,100,555,1632.2,Interpolated (Month),6940,1916.947829
2017,8,Middle East,Model 3,11639,12722,101957.72,75,418,729.77,Estimated (Region),5339,1186.685903
2024,9,North America,Model Y,4373,4733,68988.8,120,696,456.54,Interpolated (Month),14726,301.6880224
2015,10,Europe,Model S,20529,20625,68358.48,120,695,2140.15,Estimated (Region),3617,1403.331236
2023,8,North America,Model S,10325,10679,58513.6,82,465,720.17,Official (Quarter),6065,604.15292
2021,9,Europe,Model X,7322,7942,110107.04,82,455,499.73,Estimated (Region),12427,806.2037469
2024,5,Asia,Model S,10131,10941,57004.53,100,579,879.88,Interpolated (Month),12340,577.5128934
2018,10,North America,Model Y,9362,10646,109071.56,60,352,494.31,Interpolated (Month),5013,1021.127945
2022,9,North America,Model X,13861,14807,98865.2,120,683,1420.06,Interpolated (Month),4918,1370.370537
2023,1,Europe,Model S,12892,13400,52502.39,82,479,926.29,Interpolated (Month),8905,676.8608119
2024,8,North America,Cybertruck,8278,9039,69077.18,100,563,699.08,Estimated (Region),4362,571.820896
2020,2,Middle East,Model 3,9463,10065,100028.73,82,475,674.24,Interpolated (Month),6587,946.571872
2017,2,Asia,Model 3,5991,6294,51352.93,75,417,374.74,Estimated (Region),7963,307.6554036
2023,7,Asia,Model 3,12374,13714,55953.05,75,420,779.56,Estimated (Region),3105,692.3630407
2020,4,Europe,Model S,14810,16490,105589.42,75,431,957.47,Official (Quarter),13736,1563.77931
2021,6,Asia,Cybertruck,4618,5183,106179.25,120,689,477.27,Official (Quarter),6581,490.3357765
2024,3,Europe,Model 3,13755,14448,70602.52,75,445,918.15,Official (Quarter),12563,971.1376626
2017,7,Europe,Model X,8880,9964,97959.4,82,455,606.06,Official (Quarter),6470,869.879472
2025,8,Asia,Model 3,9563,10105,102342.21,82,488,700.01,Estimated (Region),12059,978.6985542
2019,3,North America,Cybertruck,12106,13118,53822.72,75,448,813.52,Official (Quarter),9151,651.5778483
2015,8,Asia,Model 3,10516,11614,114574.96,100,585,922.78,Interpolated (Month),4830,1204.870279
2022,3,Middle East,Model X,11191,12382,116541.44,120,674,1131.41,Estimated (Region),11953,1304.215255
2016,8,North America,Model 3,11469,11581,84129.98,120,662,1138.87,Official (Quarter),3751,964.8867406
2023,5,Asia,Cybertruck,8494,9483,93809.27,120,684,871.48,Interpolated (Month),6048,796.8159394
2018,1,Asia,Model 3,8115,9095,72972.56,75,420,511.24,Estimated (Region),4016,592.1723244
2019,5,North America,Model 3,6829,7204,77364.22,120,718,735.48,Official (Quarter),14455,528.3202584
2020,3,North America,Model 3,10391,11708,105935.75,120,690,1075.47,Official (Quarter),5794,1100.778378
2025,1,Europe,Model 3,14788,15440,103431.57,60,352,780.81,Official (Quarter),5949,1529.546057
2015,2,North America,Model Y,8689,8698,85752.31,120,685,892.79,Estimated (Region),5665,745.1018216
2015,8,Middle East,Model Y,787,894,75367.57,75,434,51.23,Estimated (Region),10587,59.31427759
2022,1,North America,Model 3,10388,10764,111340.46,60,330,514.21,Interpolated (Month),11789,1156.604698
2023,12,North America,Model X,11355,11397,76378.49,75,446,759.65,Estimated (Region),6295,867.277754
2016,5,Asia,Model 3,364,393,65064.13,120,660,36.04,Interpolated (Month),5894,23.68334332
2024,8,Europe,Model X,10413,10457,51043.72,60,333,520.13,Official (Quarter),6019,531.5182564
2025,7,North America,Model Y,12448,12992,66408.4,60,345,644.18,Estimated (Region),4370,826.6517632
2023,5,North America,Model X,9251,9823,103497.19,82,474,657.75,Interpolated (Month),3852,957.4525047
2016,11,North America,Cybertruck,9155,10186,54970.54,82,454,623.46,Interpolated (Month),7257,503.2552937
2025,10,Europe,Model X,9986,10201,96271.89,60,349,522.77,Estimated (Region),13175,961.3710935
2021,9,North America,Model X,3727,3854,50806.82,120,667,372.89,Official (Quarter),6711,189.3570181
2018,11,Asia,Model X,7901,8031,111857.88,82,465,551.09,Interpolated (Month),11206,883.7891099
2017,9,North America,Model X,12043,13481,69036.22,120,701,1266.32,Estimated (Region),6168,831.4031975
2024,10,Asia,Model S,10792,10895,100028.12,82,472,764.07,Interpolated (Month),13810,1079.503471
2016,4,Asia,Model 3,8734,9416,93651,60,332,434.95,Official (Quarter),12063,817.947834
2016,6,Asia,Model 3,7667,8535,82237.76,60,355,408.27,Estimated (Region),11741,630.5169059
2017,4,Europe,Model Y,9489,10197,64327.61,60,347,493.9,Estimated (Region),5233,610.4046913
2021,4,Asia,Model 3,11991,12463,58532.24,120,690,1241.07,Official (Quarter),10023,701.8600898
2023,1,Asia,Model X,10406,11745,77396.47,60,356,555.68,Estimated (Region),5882,805.3876668
2023,9,Middle East,Model 3,12121,13398,52940.4,120,714,1298.16,Estimated (Region),8813,641.6905884
2023,11,Middle East,Model X,10530,10951,80810.09,75,442,698.14,Interpolated (Month),10316,850.9302477
2016,4,Europe,Model 3,14910,17133,96328.74,100,577,1290.46,Estimated (Region),11767,1436.261513
2016,3,Europe,Model X,12255,12614,50529.4,75,436,801.48,Estimated (Region),13776,619.237797
2017,11,Asia,Cybertruck,7450,7962,74585.36,120,665,743.14,Interpolated (Month),8833,555.660932
2023,1,Middle East,Model Y,8340,9123,100931.53,100,583,729.33,Estimated (Region),8646,841.7689602
2017,8,Asia,Model S,14800,15762,119802.76,82,473,1050.06,Estimated (Region),6853,1773.080848
2025,4,Asia,Model S,8531,9254,94611.34,120,704,900.87,Interpolated (Month),5172,807.1293415
2023,6,North America,Model 3,9176,10500,95752.21,82,485,667.55,Official (Quarter),9302,878.622279
2019,7,Asia,Cybertruck,11985,13202,97786.98,60,348,625.62,Estimated (Region),6193,1171.976955
2022,9,Europe,Model X,8462,9003,88641.27,60,336,426.48,Official (Quarter),11922,750.0824267
2022,2,Asia,Cybertruck,6490,6571,53659.35,60,337,328.07,Interpolated (Month),3890,348.2491815
2020,11,Middle East,Model Y,7457,7607,95132.97,75,425,475.38,Official (Quarter),11495,709.4065573
2023,12,Asia,Model X,8534,8672,85621.34,75,429,549.16,Official (Quarter),14418,730.6925156
2024,5,Europe,Model X,8375,9325,71668.72,82,488,613.05,Estimated (Region),10880,600.22553
2019,1,Middle East,Model Y,9910,11266,92725.41,60,346,514.33,Official (Quarter),5996,918.9088131
2023,3,Middle East,Model X,4694,4872,110345.89,82,487,342.9,Official (Quarter),5329,517.9636077
2025,10,North America,Model Y,5998,6291,59349.08,60,344,309.5,Interpolated (Month),11960,355.9757818
2021,1,Middle East,Model X,7651,8241,64010.79,75,424,486.6,Interpolated (Month),10101,489.7465543
2021,9,Asia,Model 3,7479,7809,51068.54,82,460,516.05,Interpolated (Month),6383,381.9416107
2015,1,Asia,Model Y,12446,13885,55183.13,60,340,634.75,Official (Quarter),4390,686.809236
2018,8,Asia,Model Y,9090,9771,97242.52,82,460,627.21,Interpolated (Month),12096,883.9345068
2019,7,Europe,Model X,8165,8713,78383.02,60,359,439.69,Official (Quarter),6506,639.9973583
2018,5,Europe,Model Y,16359,17254,94867.59,82,470,1153.31,Official (Quarter),5279,1551.938905
2024,7,North America,Model X,14181,15135,118547.38,82,490,1042.3,Estimated (Region),6949,1681.120396
2017,2,Asia,Cybertruck,12861,13866,118320.97,75,417,804.46,Interpolated (Month),3203,1521.725995
2016,9,Europe,Cybertruck,12186,13009,102417.84,75,436,796.96,Interpolated (Month),10451,1248.063798
2020,1,Middle East,Model 3,12862,12915,67265.95,100,572,1103.56,Estimated (Region),10542,865.1746489
2016,4,Asia,Model Y,9390,9760,75209.55,75,415,584.53,Interpolated (Month),14243,706.2176745
2023,8,Asia,Model 3,9162,9238,69917.84,120,709,974.38,Official (Quarter),3958,640.5872501
2019,3,Middle East,Model X,7494,7784,72152,120,665,747.53,Estimated (Region),6638,540.707088
2018,9,Asia,Model S,10714,11018,100426.88,82,471,756.94,Official (Quarter),10251,1075.973592
2019,5,North America,Cybertruck,5490,5540,99109.57,75,412,339.28,Official (Quarter),7910,544.1115393
2019,8,Europe,Model S,7717,8834,114107,100,575,665.59,Official (Quarter),12541,880.563719
2016,8,North America,Model X,303,318,112988.33,60,330,15,Official (Quarter),10965,34.23546399
2024,7,Asia,Model 3,5162,5789,80595.47,75,417,322.88,Official (Quarter),9773,416.0338161
2022,7,Asia,Model Y,8140,8786,77684.24,120,679,829.06,Estimated (Region),10324,632.3497136
2018,9,Asia,Model 3,14916,15947,108009.63,75,443,991.17,Official (Quarter),11512,1611.071641
2019,4,Europe,Model X,12794,14038,85776.57,60,343,658.25,Interpolated (Month),14603,1097.425437
2019,9,North America,Cybertruck,3533,4017,73478.48,60,358,189.72,Interpolated (Month),9396,259.5994698
2018,7,Middle East,Cybertruck,15866,17292,85959.55,100,564,1342.26,Official (Quarter),3077,1363.83422
2024,11,Middle East,Model Y,5203,5352,95729.01,82,453,353.54,Official (Quarter),6760,498.078039
2018,6,Middle East,Cybertruck,10527,10795,58886.11,75,417,658.46,Official (Quarter),9222,619.89408
2016,2,North America,Model Y,14643,15161,55144.77,100,558,1225.62,Estimated (Region),9237,807.4848671
2019,5,Middle East,Model S,18391,19591,70485.86,60,346,954.49,Interpolated (Month),4600,1296.305451
2024,7,Europe,Model S,2561,2848,89562.13,60,343,131.76,Estimated (Region),6711,229.3686149
2018,12,Europe,Model S,14006,15697,109152.78,75,427,897.08,Official (Quarter),3615,1528.793837
2016,9,Middle East,Model S,10718,11136,113503.65,60,350,562.69,Official (Quarter),9725,1216.532121
2015,12,North America,Model X,10764,11784,68186.25,60,349,563.5,Estimated (Region),9479,733.956795
2016,6,Middle East,Model Y,9163,10262,64282.49,100,577,793.06,Estimated (Region),11796,589.0204559
2020,6,Europe,Model X,13212,15110,55439.87,100,576,1141.52,Interpolated (Month),6640,732.4715624
2024,7,Asia,Model S,6295,6909,102989.63,75,440,415.47,Estimated (Region),9118,648.3197209
2015,1,Europe,Model Y,10835,11723,62939.81,120,718,1166.93,Official (Quarter),12301,681.9528414
2022,3,North America,Model Y,15239,17202,65984.89,75,420,960.06,Official (Quarter),5414,1005.543739
2023,9,North America,Cybertruck,16468,17844,109706.93,82,463,1143.7,Interpolated (Month),9284,1806.653723
2016,4,Middle East,Model 3,10327,10916,111458.2,120,712,1102.92,Estimated (Region),12671,1151.028831
2022,1,Europe,Model Y,4983,5420,81003.99,60,331,247.41,Interpolated (Month),6835,403.6428822
2016,4,North America,Cybertruck,10136,10238,106024.96,82,460,699.38,Official (Quarter),9480,1074.668995
2016,10,Europe,Model X,14647,14853,113673.88,75,437,960.11,Interpolated (Month),12951,1664.98132
2021,11,North America,Model 3,10035,10461,98072.9,82,478,719.51,Estimated (Region),5657,984.1615515
2015,6,Europe,Model S,15474,16287,91294.24,82,467,1083.95,Official (Quarter),8249,1412.68707
2021,11,Middle East,Cybertruck,11027,11391,77197.18,120,711,1176.03,Official (Quarter),11693,851.2533039
2015,7,North America,Model 3,5673,6344,84890.95,100,554,471.43,Estimated (Region),9445,481.5863593
2019,3,Europe,Model S,8090,8442,82858.48,60,355,430.79,Estimated (Region),6658,670.3251032
2022,3,Asia,Model X,14748,15047,70390.56,60,334,738.87,Interpolated (Month),12734,1038.119979
2025,7,Europe,Model S,7263,7826,64941.35,120,692,753.9,Official (Quarter),13024,471.6690251
2018,12,Middle East,Model Y,18736,19288,64822.21,120,662,1860.48,Estimated (Region),6864,1214.508927
2021,2,Asia,Model X,10288,11101,59878.83,60,330,509.26,Estimated (Region),12721,616.033403
2023,3,Middle East,Cybertruck,13992,15052,95339.64,75,431,904.58,Interpolated (Month),8901,1333.992243
2024,3,Middle East,Model X,8095,8115,107035.44,60,340,412.84,Interpolated (Month),9965,866.4518868
2021,1,Asia,Model Y,14376,16294,80830.42,82,487,1050.17,Estimated (Region),12008,1162.018118
2015,6,Middle East,Model S,10855,12167,102378.18,100,559,910.19,Estimated (Region),5512,1111.315144
2019,7,Asia,Model Y,11376,11660,114661.2,75,443,755.94,Estimated (Region),7248,1304.385811
2018,2,North America,Cybertruck,4922,5477,87190.58,60,350,258.4,Interpolated (Month),8141,429.1520348
2023,12,Middle East,Model X,10739,11242,62476.32,82,486,782.87,Interpolated (Month),7842,670.9332005
2022,3,Middle East,Model Y,3025,3377,88655.56,100,583,264.54,Official (Quarter),6874,268.183069
2025,4,Europe,Cybertruck,9374,10743,51202.11,82,489,687.58,Official (Quarter),7424,479.9685791
2021,10,North America,Model 3,9412,10170,51575.3,75,429,605.66,Official (Quarter),12376,485.4267236
2025,10,Middle East,Model S,8179,8289,70058.32,75,448,549.63,Official (Quarter),9702,573.0069993
2018,11,Europe,Model X,14686,16707,112122.83,60,348,766.61,Estimated (Region),12699,1646.635881
2020,10,Asia,Model 3,5067,5275,112142.61,60,331,251.58,Interpolated (Month),13964,568.2266049
2017,10,Asia,Model X,9176,9273,64755.52,60,336,462.47,Official (Quarter),8629,594.1966515
2025,3,North America,Model S,10136,10478,78754.4,60,356,541.26,Official (Quarter),9330,798.2545984
2019,8,Middle East,Model 3,15767,16107,50603.33,75,413,976.77,Estimated (Region),10039,797.8627041
2022,8,Asia,Model S,9887,10191,101605.94,60,350,519.07,Estimated (Region),5955,1004.577929
2016,4,Europe,Cybertruck,6317,7033,74330.01,100,583,552.42,Official (Quarter),12545,469.5426732
2017,6,Asia,Model 3,8663,8673,80350.8,60,332,431.42,Official (Quarter),11980,696.0789804
2016,12,North America,Model X,12787,13943,107869.52,120,719,1379.08,Estimated (Region),6460,1379.327552
2019,7,Middle East,Model X,6486,6723,105898.91,82,455,442.67,Estimated (Region),12368,686.8603303
2015,3,Europe,Model S,11929,11956,114982.3,120,685,1225.7,Official (Quarter),14599,1371.623857
2018,9,Europe,Model Y,5427,6137,61820.09,120,663,539.72,Interpolated (Month),11609,335.4976284
2020,8,Middle East,Model S,13881,14957,113565.86,120,708,1474.16,Interpolated (Month),3789,1576.407703
2021,12,Asia,Model 3,4856,4919,96772.65,60,356,259.31,Estimated (Region),3693,469.9279884
2017,4,Asia,Model X,2885,3069,52629.98,120,667,288.64,Estimated (Region),12186,151.8374923
2015,5,Europe,Model X,16130,16670,117425.58,75,412,996.83,Interpolated (Month),14638,1894.074605
2017,11,Asia,Model S,5580,5893,105841.26,100,568,475.42,Estimated (Region),4044,590.5942308
2024,12,Asia,Model X,18088,18840,83312.48,100,573,1554.66,Estimated (Region),7661,1506.956138
2021,6,Middle East,Cybertruck,5982,6153,78518.37,75,447,401.09,Interpolated (Month),7527,469.6968893
2025,8,Europe,Cybertruck,11435,11620,115455.36,60,338,579.75,Interpolated (Month),9247,1320.232042
2022,7,North America,Cybertruck,9098,10351,107062.62,75,449,612.75,Official (Quarter),13563,974.0557168
2020,5,Asia,Model Y,10136,11429,88538.17,120,709,1077.96,Estimated (Region),6642,897.4228911
2018,5,North America,Model S,5386,5493,94267.74,75,417,336.89,Interpolated (Month),9941,507.7260476
2024,2,North America,Cybertruck,15966,16719,108022.8,100,580,1389.04,Estimated (Region),7669,1724.692025
2016,4,North America,Model S,7770,8462,84773.68,82,491,572.26,Interpolated (Month),4637,658.6914936
2021,9,Asia,Model S,13332,15323,67686.41,82,468,935.91,Official (Quarter),9242,902.3952181
2017,4,North America,Model Y,14030,15411,66827.92,82,458,963.86,Interpolated (Month),14018,937.5957176
2023,3,North America,Model Y,6214,7124,69688.2,120,717,668.32,Interpolated (Month),3642,433.0424748
2024,10,North America,Cybertruck,15430,15790,105296.38,120,663,1534.51,Estimated (Region),5328,1624.723143
2017,1,Asia,Cybertruck,9897,10319,59367.99,75,436,647.26,Estimated (Region),3651,587.564997
2016,7,Europe,Model S,15050,16500,54539.75,100,578,1304.83,Estimated (Region),9737,820.8232375
2024,12,Europe,Cybertruck,9061,9355,68450.11,82,459,623.85,Interpolated (Month),12180,620.2264467
2022,3,Asia,Model S,17591,18945,111047.42,120,677,1786.37,Interpolated (Month),4034,1953.435165
2016,2,Asia,Model Y,5786,6539,62400.49,60,350,303.76,Estimated (Region),13057,361.0492351
2018,4,Europe,Model Y,10915,12057,113018.49,100,589,964.34,Interpolated (Month),11116,1233.596818
2015,4,Asia,Model 3,11229,12493,106478.43,82,491,827.02,Official (Quarter),7951,1195.64629
2020,10,Europe,Model S,5140,5634,51640.31,120,685,528.13,Estimated (Region),13500,265.4311934
2023,6,North America,Model S,9262,9758,70352.07,100,580,805.79,Estimated (Region),13833,651.6008723
2015,4,North America,Model Y,13098,13438,80369.62,60,341,669.96,Interpolated (Month),10390,1052.681283
2016,8,Asia,Cybertruck,8832,10136,104040.87,75,413,547.14,Interpolated (Month),3782,918.8889638
2025,10,Middle East,Model 3,13412,14323,72066.7,100,597,1201.04,Official (Quarter),13194,966.5585804
2016,6,North America,Model Y,12146,12628,51466.15,75,415,756.09,Official (Quarter),14614,625.1078579
2021,5,Asia,Model X,6296,6964,52182.24,120,712,672.41,Estimated (Region),4663,328.539383
2021,5,Middle East,Model Y,15561,16424,84024.03,100,565,1318.79,Official (Quarter),4702,1307.497931
2017,2,North America,Model S,244,267,99270,75,412,15.08,Interpolated (Month),5003,24.22188
2022,10,North America,Cybertruck,16170,16386,64781.06,60,345,836.8,Official (Quarter),3240,1047.50974
2021,2,Europe,Model S,8908,9004,111677.36,82,461,615.99,Interpolated (Month),10115,994.8219229
